#	Summary: Metal Binding Proteins above treshold of 0.5

#	Ca	Co	Cu	Fe	K	Mg	Mn	Na	Ni	Zn

#	1268	348	390	820	886	1584	712	921	766	1623

ID	MetalBinding	Ca	Co	Cu	Fe	K	Mg	Mn	Na	Ni	Zn

5I1R_A	1.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.63	0.0	1.0

5IB7_42	0.4	0.7	0.27	0.0	0.0	0.98	0.72	0.29	0.42	0.0	0.23

5IBB_21	0.3	0.31	0.28	0.22	0.08	0.32	0.37	0.08	0.4	0.41	0.43

5IJ4_A	1.0	0.0	0.22	0.22	0.0	0.28	0.0	0.03	0.38	0.23	0.79

5IK2_E	0.4	0.32	0.09	0.0	0.29	0.09	0.71	0.1	0.28	0.0	0.32

5IPX_A	0.46	0.13	0.32	0.19	0.03	0.48	0.31	0.17	0.25	0.37	0.45

5IQR_8	0.42	0.63	0.34	0.31	0.63	0.51	0.49	0.22	0.55	0.59	0.43

5IZ3_A	0.57	0.33	0.27	0.02	0.09	0.48	0.61	0.69	0.32	0.19	0.53

5IZ3_B	0.53	0.29	0.31	0.1	0.1	0.49	0.61	0.68	0.34	0.2	0.53

5J5B_DD	0.32	0.08	0.39	0.04	0.26	0.22	0.56	0.14	0.56	0.51	0.11

5J8B_Z	0.64	0.42	0.08	0.06	0.2	0.33	0.63	0.02	0.48	0.55	0.61

5J8T_A	0.24	0.81	0.38	0.11	0.03	0.21	0.0	0.08	0.31	0.23	0.09

5JA0_F	0.4	0.02	0.09	0.0	0.45	0.25	0.72	0.12	0.25	0.01	0.3

5JG4_A	0.46	0.31	0.44	0.26	0.43	0.45	0.13	0.12	0.45	0.42	0.44

5JO9_A	0.28	0.05	0.39	0.18	0.0	0.36	0.34	0.1	0.5	0.53	0.36

5JOJ_A	0.39	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0

5JP2_B	0.36	0.21	0.34	0.06	0.05	0.44	0.18	0.2	0.51	0.39	0.39

5JPX_A	1.0	0.01	0.27	0.21	0.0	0.26	0.0	0.08	0.31	0.27	0.65

5JV2_F	0.41	0.03	0.07	0.0	0.46	0.26	0.71	0.12	0.24	0.01	0.3

5KLX_B	0.19	0.15	0.3	0.02	0.0	0.3	0.57	0.15	0.41	0.32	0.13

5KN5_F	0.23	0.09	0.12	0.0	0.01	0.07	0.24	0.03	0.04	0.21	0.58

5KND_C	0.88	0.52	0.04	0.7	0.03	0.57	0.46	0.0	0.66	0.8	0.73

5KQB_A	0.82	0.64	0.35	0.22	0.27	0.28	0.47	0.01	0.44	0.45	0.62

5KQR_A	0.43	0.19	0.32	0.25	0.03	0.52	0.38	0.26	0.46	0.37	0.46

5KSX_F	0.41	0.02	0.07	0.0	0.45	0.25	0.72	0.11	0.24	0.01	0.3

5KVP_A	0.5	0.27	0.39	0.19	0.12	0.13	0.13	0.28	0.49	0.68	0.49

5L03_A	0.77	0.32	0.12	0.78	0.02	0.72	0.42	0.03	0.44	0.29	0.74

5L03_B	0.77	0.31	0.17	0.84	0.05	0.69	0.39	0.05	0.44	0.31	0.67

5L03_C	0.78	0.3	0.15	0.78	0.03	0.72	0.41	0.07	0.44	0.26	0.72

5L0H_A	0.21	0.41	0.41	0.13	0.0	0.2	0.25	0.11	0.39	0.43	0.15

5LBP_A	0.58	0.36	0.36	0.18	0.09	0.36	0.23	0.04	0.4	0.49	0.44

5LC9_B	0.31	0.15	0.35	0.16	0.15	0.29	0.57	0.31	0.35	0.23	0.33

5LDB_C	0.31	0.15	0.35	0.16	0.15	0.29	0.57	0.31	0.35	0.23	0.33

5LDQ_D	0.26	0.05	0.28	0.02	0.01	0.36	0.21	0.53	0.08	0.26	0.34

5LG0_A	1.0	0.0	0.0	0.02	0.0	0.32	0.0	0.0	0.53	0.01	1.0

5LG7_A	1.0	0.0	0.0	0.02	0.0	0.32	0.0	0.0	0.53	0.01	1.0

5LLF_D	0.19	0.17	0.28	0.03	0.0	0.39	0.53	0.13	0.16	0.38	0.09

5LME_A	1.0	0.3	0.1	0.21	0.0	0.34	0.07	0.0	0.48	0.16	0.91

5LNT_A	0.4	0.78	0.23	0.29	0.58	0.06	0.23	0.05	0.4	0.0	0.05

5LNU_B	0.33	0.34	0.38	0.21	0.53	0.4	0.31	0.41	0.46	0.59	0.33

5LOU_A	0.4	0.25	0.51	0.88	0.01	0.4	0.28	0.05	0.55	0.56	0.4

5LOU_B	0.4	0.24	0.49	0.87	0.01	0.41	0.26	0.05	0.55	0.65	0.43

5LU0_A	0.48	0.19	0.27	0.2	0.51	0.23	0.56	0.23	0.39	0.47	0.5

5M5B_B	0.24	0.25	0.37	0.09	0.02	0.33	0.47	0.43	0.46	0.42	0.2

5MDV_U	0.19	0.34	0.18	0.05	0.01	0.17	0.33	0.13	0.04	0.34	0.19

5MDV_I	0.22	0.13	0.28	0.1	0.0	0.3	0.54	0.07	0.3	0.33	0.29

5MDV_R	0.31	0.06	0.31	0.0	0.0	0.5	0.58	0.16	0.36	0.31	0.15

5MFD_L	0.38	0.95	0.03	0.0	0.0	0.0	0.79	0.0	0.26	0.0	0.0

5MNX_A	0.39	0.93	0.04	0.86	0.0	0.0	0.63	0.0	0.39	0.0	0.01

5MS9_A	0.97	0.84	0.64	0.2	0.14	0.49	0.18	0.07	0.45	0.33	0.63

5MSL_A	0.98	0.24	0.22	0.29	0.01	0.38	0.11	0.04	0.46	0.27	0.74

5N7D_A	0.4	0.73	0.34	0.35	0.09	0.12	0.45	0.11	0.4	0.0	0.14

5N7F_B	0.4	0.73	0.34	0.35	0.09	0.11	0.43	0.1	0.4	0.0	0.14

5N7Y_A	1.0	0.0	0.15	0.21	0.0	0.33	0.0	0.01	0.43	0.16	0.91

5NCR_B	0.3	0.17	0.29	0.2	0.09	0.37	0.51	0.11	0.18	0.41	0.43

5NDK_39	0.39	0.14	0.36	0.29	0.56	0.42	0.37	0.54	0.32	0.46	0.43

5NDK_A5	0.25	0.15	0.3	0.1	0.01	0.48	0.44	0.07	0.07	0.44	0.22

5NDK_C8	0.17	0.19	0.21	0.01	0.0	0.21	0.57	0.09	0.07	0.31	0.06

5NGM_AC	0.46	0.08	0.27	0.04	0.43	0.37	0.61	0.62	0.32	0.27	0.49

5NLC_A	0.37	0.2	0.62	0.26	0.39	0.4	0.27	0.13	0.44	0.5	0.42

5NLI_B	0.67	0.15	0.14	0.34	0.03	0.28	0.4	0.02	0.46	0.38	0.65

5NLY_B	0.59	0.31	0.33	0.46	0.36	0.33	0.36	0.2	0.4	0.48	0.48

5NMY_A	0.81	0.1	0.24	0.32	0.01	0.32	0.44	0.12	0.44	0.33	0.59

5NPB_A	0.4	0.64	0.5	0.13	0.39	0.46	0.55	0.37	0.5	0.16	0.32

5NPC_A	0.4	0.64	0.5	0.13	0.39	0.46	0.55	0.37	0.5	0.16	0.32

5NRI_A	0.32	0.55	0.44	0.5	0.32	0.36	0.3	0.32	0.5	0.44	0.16

5O2Y_A	0.41	0.75	0.43	0.4	0.06	0.3	0.2	0.24	0.49	0.19	0.44

5O2Z_B	0.29	0.42	0.35	0.16	0.03	0.4	0.18	0.07	0.35	0.39	0.42

5O36_A	0.4	0.27	0.31	0.22	0.05	0.32	0.39	0.08	0.15	0.43	0.44

5O9B_A	0.99	0.06	0.02	0.04	0.0	0.49	0.06	0.0	0.52	0.16	0.96

5OAB_A	0.21	0.03	0.16	0.01	0.0	0.16	0.11	0.04	0.64	0.37	0.19

5OEO_A	0.27	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

5OG9_B	0.4	0.08	0.39	0.0	0.96	0.67	0.56	0.17	0.12	0.99	0.32

5OKB_A	0.4	0.67	0.38	0.32	0.01	0.6	0.51	0.4	0.52	0.27	0.34

5OKB_D	0.4	0.67	0.38	0.32	0.01	0.6	0.51	0.4	0.52	0.27	0.34

5OLN_B	0.36	0.48	0.35	0.14	0.13	0.39	0.53	0.52	0.51	0.38	0.3

5ON9_B	0.39	0.34	0.41	0.15	0.57	0.48	0.55	0.51	0.43	0.75	0.33

5OT0_A	0.27	0.28	0.34	0.13	0.08	0.36	0.25	0.27	0.51	0.49	0.22

5OXK_A	0.4	0.13	0.35	0.03	0.65	0.41	0.21	0.41	0.49	0.59	0.39

5OXL_A	0.4	0.13	0.34	0.04	0.65	0.41	0.22	0.42	0.49	0.59	0.39

5OXM_A	0.4	0.13	0.35	0.03	0.65	0.41	0.21	0.41	0.49	0.59	0.39

5OXN_A	0.4	0.13	0.34	0.04	0.65	0.41	0.21	0.42	0.49	0.59	0.39

5OXQ_A	0.4	0.13	0.35	0.03	0.65	0.41	0.21	0.42	0.48	0.58	0.39

5ROB_A	0.39	0.38	0.31	0.33	0.31	0.39	0.44	0.13	0.45	0.42	0.45

5S9M_A	0.86	0.64	0.17	0.26	0.03	0.86	0.14	0.0	0.68	0.18	0.75

5S9N_A	0.86	0.64	0.17	0.26	0.03	0.86	0.14	0.0	0.68	0.18	0.75

5S9S_A	0.41	0.39	0.54	0.98	0.01	0.32	0.5	0.53	0.64	0.6	0.35

5SB3_F	0.4	0.51	0.18	0.0	0.0	0.4	0.64	0.83	0.24	0.16	0.29

5SB4_F	0.4	0.49	0.16	0.0	0.01	0.36	0.62	0.82	0.24	0.14	0.37

5SB6_F	0.4	0.5	0.16	0.0	0.0	0.39	0.65	0.82	0.24	0.15	0.28

5SJU_B	0.98	0.45	0.0	0.0	0.0	0.0	0.87	0.0	0.38	0.96	0.85

5T3V_A	0.4	0.57	0.26	0.01	0.0	0.88	0.58	0.38	0.45	0.46	0.39

5T5H_R	0.07	0.03	0.09	0.0	0.01	0.11	0.26	0.02	0.04	0.27	0.07

5T5H_U	0.14	0.13	0.11	0.02	0.0	0.09	0.15	0.01	0.2	0.33	0.14

5T5H_N	0.36	0.1	0.36	0.83	0.33	0.39	0.43	0.13	0.3	0.22	0.46

5T5H_O	0.42	0.61	0.43	0.1	0.01	0.45	0.14	0.12	0.24	0.38	0.42

5T5H_T	0.69	0.07	0.27	0.21	0.03	0.25	0.18	0.16	0.1	0.35	0.5

5T61_A	0.4	0.43	0.24	0.36	0.0	0.73	0.5	0.32	0.54	0.63	0.39

5T61_I	0.39	0.36	0.5	0.91	0.04	0.46	0.34	0.5	0.47	0.53	0.35

5T6M_A	0.4	0.0	0.08	0.0	0.0	0.05	0.25	0.01	0.77	0.01	0.15

5TBN_A	1.0	0.01	0.22	0.26	0.0	0.31	0.11	0.04	0.42	0.24	0.78

5TBW_I	0.84	0.09	0.43	0.33	0.57	0.2	0.34	0.08	0.45	0.5	0.58

5TBW_S	0.48	0.0	0.2	0.0	0.0	0.0	0.07	0.97	0.32	0.0	0.43

5TBW_SM	1.0	0.0	1.0	0.38	1.0	0.7	0.0	0.08	0.43	0.04	0.61

5TES_B	0.43	0.2	0.41	0.0	0.66	0.41	0.51	0.33	0.26	0.59	0.39

5TPV_B	0.08	0.05	0.11	0.0	0.28	0.08	0.13	0.01	0.01	0.3	0.11

5TZB_D	0.34	0.32	0.36	0.08	0.0	0.34	0.57	0.32	0.48	0.23	0.26

5U10_A	0.36	0.22	0.3	0.22	0.01	0.43	0.28	0.11	0.49	0.44	0.43

5U10_B	0.36	0.22	0.3	0.23	0.01	0.43	0.29	0.11	0.49	0.44	0.43

5U6H_A	1.0	0.0	0.03	0.09	0.0	0.34	0.0	0.0	0.46	0.05	1.0

5U6L_A	1.0	0.12	0.05	0.14	0.0	0.36	0.02	0.0	0.48	0.08	0.98

5U7E_A	0.26	0.53	0.56	0.21	0.01	0.26	0.11	0.15	0.42	0.45	0.16

5U7P_A	0.33	0.23	0.38	0.21	0.07	0.44	0.53	0.28	0.45	0.37	0.41

5U95_D	0.6	0.67	0.31	0.11	0.13	0.57	0.41	0.06	0.47	0.42	0.49

5UEH_A	0.3	0.31	0.39	0.11	0.0	0.49	0.56	0.2	0.54	0.45	0.15

5V2L_A	0.23	0.31	0.32	0.14	0.41	0.31	0.31	0.18	0.39	0.46	0.18

5V8T_A	0.2	0.21	0.29	0.04	0.0	0.28	0.57	0.17	0.42	0.3	0.13

5VES_B	0.16	0.11	0.09	0.0	0.06	0.06	0.29	0.03	0.05	0.23	0.25

5VF0_B	1.0	0.05	0.05	0.14	0.01	0.25	0.08	0.0	0.52	0.17	0.98

5VPZ_A	0.4	0.54	0.0	0.0	0.0	0.01	0.92	0.01	0.08	0.0	0.05

5VYG_A	0.11	0.83	0.28	0.04	0.0	0.13	0.01	0.01	0.02	0.3	0.02

5W2H_A	0.11	0.0	0.19	0.22	0.0	0.83	0.43	0.05	0.27	0.23	0.21

5WAW_L	0.64	0.27	0.14	0.33	0.03	0.25	0.48	0.01	0.5	0.59	0.57

5WDT_T	0.18	0.07	0.19	0.01	0.0	0.08	0.28	0.11	0.69	0.36	0.1

5WDT_Z	0.43	0.17	0.22	0.0	0.01	0.22	0.7	0.58	0.36	0.01	0.55

5WDX_A	0.41	0.53	0.05	0.0	0.0	0.54	0.74	1.0	0.29	0.0	0.38

5WFN_B	0.4	0.64	0.0	0.0	0.0	0.27	0.77	0.17	0.31	0.0	0.52

5WFS_Z	0.43	0.17	0.22	0.0	0.01	0.22	0.7	0.58	0.36	0.01	0.55

5WHA_J	0.4	0.52	0.0	0.0	0.0	0.01	0.94	0.0	0.04	0.0	0.02

5WHA_L	0.1	0.59	0.1	0.0	0.0	0.04	0.0	0.0	0.0	0.29	0.02

5WHV_F	0.4	0.72	0.55	0.01	0.81	0.21	0.0	0.41	0.31	0.71	0.31

5WRP_C	0.4	0.01	0.08	0.0	0.0	1.0	0.66	0.99	0.54	0.14	0.11

5WRP_D	0.4	0.23	0.11	0.01	0.09	1.0	0.68	0.98	0.53	0.35	0.13

5X6T_A	1.0	0.0	0.08	0.14	0.0	0.31	0.0	0.0	0.43	0.09	0.98

5XCV_D	0.39	0.53	0.39	0.72	0.09	0.49	0.17	0.12	0.45	0.4	0.45

5XHB_A	0.38	0.19	0.26	0.15	0.18	0.3	0.26	0.05	0.09	0.43	0.42

5XND_A	0.4	0.77	0.24	0.19	0.28	0.05	0.58	0.26	0.36	0.0	0.14

5XVH_A	0.39	0.19	0.25	0.01	0.0	0.36	0.59	0.15	0.4	0.25	0.22

5Y0U_A	0.93	0.09	0.08	0.07	0.01	0.5	0.06	0.0	0.52	0.34	0.86

5Y2V_A	0.31	0.09	0.32	0.07	0.57	0.3	0.3	0.29	0.4	0.49	0.36

5Y5S_0	0.18	0.39	0.14	0.01	0.0	0.12	0.66	0.03	0.02	0.32	0.05

5YBG_E	0.98	0.0	0.0	0.13	0.0	0.06	0.0	0.0	0.45	0.06	1.0

5YLE_A	0.89	0.32	0.28	0.3	0.11	0.35	0.29	0.09	0.45	0.37	0.57

5YLG_C	0.62	0.04	0.23	0.06	0.06	0.38	0.05	0.09	0.05	0.33	0.45

5YOL_E	0.35	0.18	0.27	0.01	0.15	0.33	0.57	0.2	0.4	0.2	0.2

5YQ0_F	0.31	0.44	0.31	0.1	0.0	0.31	0.56	0.53	0.44	0.36	0.24

5YV1_A	0.4	0.51	0.23	0.0	0.0	0.71	0.71	0.58	0.37	0.01	0.25

5YY4_A	0.58	0.56	0.39	0.53	0.15	0.59	0.18	0.1	0.48	0.38	0.5

5YZ9_A	0.96	0.03	0.12	0.24	0.0	0.29	0.03	0.01	0.49	0.2	0.91

5ZKI_B	0.4	0.56	0.25	0.01	0.0	0.88	0.59	0.39	0.46	0.44	0.39

5ZKJ_B	0.4	0.57	0.25	0.01	0.0	0.88	0.59	0.39	0.45	0.42	0.39

5ZNF_A	1.0	0.0	0.05	0.12	0.0	0.33	0.0	0.0	0.45	0.07	0.99

5ZUR_B	0.41	0.46	0.24	0.0	0.96	0.39	0.48	0.8	0.49	0.94	0.34

6A3Z_A	1.0	0.0	0.22	0.21	0.0	0.32	0.0	0.04	0.39	0.21	0.78

6AL3_B	0.3	0.19	0.23	0.13	0.23	0.26	0.38	0.1	0.06	0.4	0.39

6AO5_A	0.33	0.56	0.34	0.08	0.0	0.4	0.55	0.35	0.47	0.24	0.3

6APG_B	0.37	0.01	0.99	0.24	0.65	0.43	0.06	0.58	0.23	0.41	0.17

6ASN_A	0.4	0.72	0.44	0.0	0.05	0.87	0.66	0.78	0.39	0.0	0.26

6ASV_A	0.28	0.44	0.38	0.2	0.02	0.4	0.38	0.46	0.38	0.4	0.32

6ASV_C	0.28	0.44	0.38	0.19	0.02	0.4	0.38	0.46	0.38	0.4	0.32

6B55_B	0.13	0.06	0.07	0.0	0.01	0.05	0.27	0.02	0.09	0.17	0.26

6BD3_A	0.4	0.72	0.5	0.0	0.0	0.99	0.65	0.72	0.47	0.0	0.13

6BD3_B	0.4	0.72	0.45	0.0	0.0	1.0	0.68	0.59	0.5	0.0	0.15

6BD9_A	0.4	0.72	0.49	0.0	0.0	0.99	0.66	0.7	0.48	0.0	0.13

6BD9_B	0.4	0.71	0.45	0.0	0.0	1.0	0.68	0.57	0.5	0.0	0.15

6BFF_A	0.22	0.22	0.27	0.01	0.05	0.28	0.57	0.26	0.22	0.25	0.15

6BT0_C	0.4	0.01	0.0	0.0	0.0	0.18	0.78	0.0	0.11	0.0	0.03

6BYV_A	0.4	0.98	0.14	0.08	0.03	0.02	0.0	0.0	0.38	0.0	0.01

6CC9_B	0.41	0.54	0.0	0.0	0.0	0.0	0.98	0.0	0.01	0.0	0.02

6CGN_A	0.39	0.61	0.44	0.23	0.01	0.44	0.44	0.35	0.48	0.31	0.35

6CGQ_B	0.35	0.34	0.4	0.23	0.38	0.32	0.31	0.27	0.52	0.48	0.36

6CUH_A	0.3	0.31	0.32	0.1	0.31	0.33	0.16	0.3	0.51	0.45	0.3

6DDT_A	0.4	0.54	0.31	0.18	0.23	0.54	0.54	0.34	0.45	0.25	0.44

6DEX_A	0.25	0.25	0.3	0.57	0.01	0.3	0.15	0.16	0.38	0.41	0.22

6DGN_A	0.34	0.34	0.34	0.32	0.39	0.42	0.18	0.3	0.46	0.4	0.41

6DW7_D	0.4	0.12	0.24	0.01	0.6	0.03	0.76	0.14	0.87	0.3	0.39

6DWQ_A	0.4	0.77	0.28	0.51	0.0	0.74	0.28	0.04	0.68	0.86	0.14

6DY4_A	0.49	0.36	0.34	0.29	0.84	0.36	0.31	0.32	0.42	0.95	0.43

6DY8_A	0.48	0.34	0.33	0.29	0.84	0.38	0.31	0.33	0.43	0.94	0.43

6DYE_B	0.48	0.36	0.35	0.33	0.84	0.36	0.32	0.3	0.42	0.95	0.43

6DYF_B	0.47	0.34	0.34	0.33	0.85	0.39	0.32	0.31	0.42	0.95	0.43

6DYJ_C	0.53	0.33	0.41	0.44	0.53	0.31	0.16	0.21	0.46	0.45	0.45

6E07_F	0.3	0.21	0.33	0.37	0.01	0.42	0.43	0.18	0.49	0.43	0.38

6E25_A	0.85	0.05	0.28	0.32	0.0	0.3	0.12	0.11	0.4	0.32	0.6

6E83_B	1.0	0.0	0.02	0.07	0.0	0.34	0.0	0.0	0.48	0.03	1.0

6EIA_A	0.4	0.13	0.34	0.04	0.65	0.41	0.21	0.42	0.49	0.59	0.39

6EKC_B1	0.72	0.04	0.25	0.12	0.0	0.21	0.02	0.07	0.16	0.34	0.49

6ERI_AB	0.45	0.03	0.39	0.0	0.61	0.34	0.31	0.33	0.13	0.41	0.38

6ERI_AE	0.91	0.02	0.27	0.25	0.0	0.29	0.03	0.1	0.35	0.28	0.64

6ERI_BM	0.24	0.33	0.25	0.1	0.0	0.31	0.5	0.15	0.17	0.35	0.27

6ET5_L	0.4	0.26	0.26	0.12	0.6	0.48	0.58	0.59	0.29	0.5	0.41

6ET5_M	0.42	0.08	0.25	0.0	0.71	0.38	0.6	0.28	0.49	0.68	0.34

6EVK_A	0.41	0.24	0.33	0.0	0.01	0.0	0.52	1.0	0.34	0.0	0.37

6EVK_B	0.48	0.23	0.25	0.26	0.25	0.27	0.53	0.1	0.43	0.5	0.49

6EVK_C	0.43	0.32	0.21	0.24	0.07	0.28	0.41	0.11	0.53	0.45	0.48

6F98_A	1.0	0.01	0.08	0.16	0.0	0.33	0.0	0.0	0.44	0.1	0.97

6FB2_A	0.4	0.69	0.36	0.16	0.0	0.32	0.46	0.58	0.5	0.11	0.23

6FGN_A	1.0	0.0	0.0	0.0	0.0	0.14	0.01	0.0	0.56	0.0	1.0

6FGS_A	1.0	0.07	0.0	0.0	0.0	0.09	0.24	0.0	0.51	0.0	1.0

6FHK_A	0.4	0.27	0.32	0.05	0.0	0.45	0.66	0.17	0.69	0.54	0.26

6FJI_A	1.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.62	0.0	1.0

6FPF_D	0.77	0.08	0.35	0.3	0.05	0.39	0.25	0.43	0.46	0.26	0.58

6FVJ_D	0.27	0.35	0.42	0.29	0.35	0.32	0.43	0.11	0.12	0.4	0.41

6FW5_A	0.28	0.34	0.41	0.3	0.34	0.33	0.42	0.1	0.13	0.41	0.42

6FW5_B	0.27	0.34	0.41	0.3	0.34	0.32	0.42	0.11	0.13	0.41	0.41

6FW5_C	0.27	0.34	0.42	0.29	0.35	0.32	0.43	0.11	0.11	0.41	0.41

6FW5_D	0.28	0.34	0.41	0.3	0.34	0.34	0.42	0.1	0.13	0.41	0.42

6G8P_A	0.4	0.37	0.2	0.01	0.0	0.31	0.65	0.13	0.5	0.05	0.32

6G99_B	1.0	0.01	0.23	0.25	0.0	0.31	0.06	0.06	0.4	0.24	0.74

6GAT_A	1.0	0.0	0.02	0.06	0.0	0.34	0.0	0.0	0.48	0.03	1.0

6GDK_A	0.27	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

6GH4_E	0.4	0.17	0.21	0.13	0.03	0.24	0.62	0.09	0.52	0.17	0.51

6GSJ_BA	0.4	0.01	0.04	0.0	0.0	0.38	0.65	0.01	0.26	0.02	0.08

6GSQ_A	0.41	0.0	1.0	1.0	0.0	0.94	0.0	0.0	0.67	0.97	0.86

6GSZ_A	0.41	0.47	0.27	0.16	0.6	0.67	0.6	0.65	0.48	0.58	0.45

6GUA_A	0.4	0.67	0.45	0.08	0.38	0.58	0.54	0.48	0.44	0.13	0.3

6GVT_B	0.7	0.02	0.16	0.08	0.02	0.23	0.59	0.04	0.3	0.27	0.52

6GW8_A	1.0	0.01	0.18	0.25	0.0	0.34	0.02	0.02	0.43	0.18	0.88

6GWJ_K	0.22	0.14	0.35	0.1	0.37	0.4	0.45	0.19	0.43	0.43	0.12

6H9H_A	0.54	0.08	0.27	0.14	0.22	0.3	0.56	0.27	0.32	0.31	0.49

6HGV_A	0.63	0.19	0.32	0.34	0.03	0.33	0.12	0.14	0.46	0.4	0.48

6HVJ_A	0.29	0.31	0.33	0.13	0.0	0.3	0.54	0.22	0.5	0.31	0.28

6HW2_C	0.74	0.03	0.27	0.28	0.0	0.28	0.21	0.08	0.35	0.37	0.51

6I46_AAA	0.87	0.32	0.18	0.24	0.06	0.2	0.46	0.06	0.45	0.31	0.64

6I6Z_B	0.86	0.28	0.12	0.26	0.03	0.31	0.32	0.01	0.47	0.21	0.82

6I9H_A	0.93	0.47	0.01	0.03	0.01	0.02	0.62	0.0	0.4	0.73	0.84

6IBY_A	0.29	0.3	0.34	0.13	0.0	0.33	0.54	0.22	0.5	0.31	0.28

6IBZ_A	0.29	0.31	0.33	0.13	0.0	0.3	0.54	0.22	0.5	0.31	0.28

6ICZ_N	0.97	0.26	0.18	0.27	0.0	0.35	0.2	0.02	0.46	0.26	0.77

6ICZ_Z	0.69	0.3	0.4	0.4	0.51	0.34	0.28	0.33	0.28	0.45	0.47

6ID0_O	0.78	0.35	0.38	0.29	0.43	0.44	0.29	0.04	0.46	0.39	0.62

6ID0_U	0.4	0.21	0.36	0.38	0.65	0.53	0.52	0.27	0.3	0.76	0.42

6IID_D	0.39	0.44	0.32	0.02	0.0	0.82	0.58	0.44	0.47	0.38	0.37

6ILA_A	0.33	0.23	0.34	0.07	0.01	0.51	0.55	0.46	0.41	0.35	0.4

6IR0_A	0.96	0.34	0.23	0.3	0.0	0.38	0.14	0.04	0.46	0.3	0.69

6ISE_A	0.38	0.52	0.33	0.03	0.0	0.55	0.58	0.46	0.45	0.2	0.32

6IU6_C	1.0	0.01	0.95	0.3	0.67	0.43	0.0	0.06	0.42	0.38	0.49

6J7N_A	0.35	0.48	0.33	0.25	0.22	0.32	0.25	0.16	0.5	0.46	0.38

6J7O_A	0.37	0.47	0.29	0.19	0.21	0.28	0.24	0.19	0.53	0.49	0.37

6J7Q_A	0.37	0.47	0.29	0.19	0.21	0.28	0.25	0.19	0.53	0.49	0.37

6J7S_A	0.37	0.47	0.29	0.19	0.21	0.28	0.25	0.19	0.53	0.49	0.37

6J98_A	0.13	0.08	0.22	0.0	0.01	0.14	0.52	0.25	0.03	0.34	0.05

6JIM_B	0.64	0.22	0.28	0.2	0.18	0.67	0.28	0.44	0.51	0.31	0.46

6JKI_A	0.4	0.41	0.28	0.3	0.01	0.28	0.45	0.18	0.53	0.35	0.43

6JKI_B	0.4	0.42	0.28	0.31	0.01	0.28	0.43	0.18	0.53	0.36	0.44

6JKU_A	0.4	0.08	0.28	0.09	0.27	0.33	0.6	0.08	0.43	0.26	0.47

6JLH_A	0.4	0.99	0.04	0.03	0.0	0.0	0.0	0.0	0.37	0.0	0.0

6JMG_A	0.46	0.19	0.41	0.3	0.38	0.38	0.46	0.17	0.33	0.39	0.47

6JRE_B	0.25	0.28	0.28	0.12	0.0	0.23	0.41	0.06	0.48	0.39	0.27

6JTF_A	0.26	0.2	0.27	0.14	0.16	0.33	0.41	0.22	0.09	0.4	0.35

6JU4_A	0.4	0.69	0.44	0.84	0.39	0.42	0.41	0.35	0.45	0.18	0.37

6JU4_B	0.4	0.69	0.45	0.86	0.39	0.4	0.4	0.35	0.45	0.18	0.36

6JU5_A	0.4	0.69	0.42	0.79	0.39	0.42	0.4	0.36	0.45	0.19	0.37

6JU5_B	0.4	0.69	0.48	0.8	0.39	0.43	0.39	0.43	0.44	0.22	0.36

6JU8_A	0.4	0.7	0.45	0.84	0.4	0.38	0.36	0.35	0.45	0.16	0.36

6JU8_B	0.4	0.69	0.45	0.84	0.4	0.39	0.36	0.34	0.45	0.19	0.36

6JU9_A	0.4	0.7	0.45	0.84	0.4	0.38	0.36	0.35	0.45	0.16	0.36

6JU9_B	0.4	0.68	0.47	0.82	0.4	0.38	0.38	0.36	0.45	0.18	0.32

6JUA_A	0.4	0.68	0.43	0.81	0.42	0.44	0.42	0.35	0.43	0.14	0.38

6JUA_B	0.4	0.69	0.44	0.82	0.4	0.41	0.39	0.36	0.45	0.19	0.37

6JUB_A	0.4	0.68	0.43	0.81	0.42	0.44	0.42	0.35	0.43	0.14	0.38

6JUB_B	0.4	0.69	0.44	0.82	0.32	0.39	0.38	0.36	0.45	0.19	0.37

6JUC_A	0.4	0.69	0.43	0.63	0.4	0.43	0.39	0.36	0.45	0.19	0.37

6JUC_B	0.4	0.69	0.43	0.64	0.32	0.39	0.37	0.37	0.45	0.17	0.37

6JUD_A	0.4	0.69	0.43	0.63	0.4	0.43	0.39	0.36	0.45	0.19	0.37

6JUD_B	0.4	0.69	0.43	0.64	0.32	0.39	0.37	0.37	0.46	0.18	0.37

